cnpj;codCVM;codB3
36969658000153;561061;EGYR11
37037297000170;617407;GCRA11
37087810000137;552119;DEVA11
37112770000136;554634;RELG11
37180091000102;581143;BBFO11
37262752000130;614890;LPLP11
37266902000184;581348;ERCR11
37266902000184;581356;ERCR13
37295919000160;563757;GALG11
37404867000112;XPID;XPID11
37663076000107;02564;AESB3
37843293000189;ESGB;ESGB11
37899479000150;566950;RBHY11
37899479000150;566950;RBHY12
38000706000126;BITI;BITI11
38051307000194;633811;BLUR11
38065012000177;CPTI;CPTI11
38082796000141;576611;SRVD11
38293897000161;586455;GCRI11
38293897000161;586455;GCRI12
38293921000162;588342;ASMT11
38294221000192;589969;BLMC11
38307135000177;08019;G2DI33
38314708000190;HASH;HASH11
38314962000198;RBIF;RBIF11
38350645000127;SAET;BOVS11
38354844000103;TECK;TECK11
38456508000171;572640;HGIC11
38456598000109;565210;ROOF11
38456921000136;02574;IFCM3
38542870000165;XINA;XINA11
38542889000101;ACWI;ACWI11
38595988000151;EURP;EURP11
38658984000175;574619;CXCO11
39332032000120;580971;BICE11
39347413000182;578029;HUCG11
39714024000148;602248;TJKB11
39753295000102;642967;LIFE11
39753295000102;642967;LIFE12
39863059000149;588377;DVFF11
39979022000180;QBTC;QBTC11
40011225000168;592226;SNFF11
40011251000196;610445;IBCR11
40011268000143;604399;CCRF11
40011324000140;632570;SIGR11
40041603000156;654752;NCRI11
40041711000129;583162;SNLG11
40041723000153;595098;VCRR11
40102445000105;611611;LKDV11
40102474000169;625671;MORC11
40102474000169;625671;MORC12
40153709000141;XMAL;XMAL11
40155573000109;BOVX;BOVX11
40159947000164;02567;HMOB3
40173064000109;01383;DJON4
40189596000134;619787;CXAG11
40225262000179;595081;SPMO11
40337136000106;02600;LAND3
40343867000164;651125;HGAG11
40413979000144;617431;RZAG11
40502607000194;BDIF;BDIF11
40575940000123;600288;ZAVI11
40751130000180;USTK;USTK11
40755515000116;DEFI;DEFI11
40771109000147;BTAG;BTAG11
40771109000147;BTAG;BTAG12
40884088000176;AATH;AATH11
40886241000102;608671;JASC11
40886241000102;608671;JASC12
40952802000116;UTEC;UTEC11
40953254000149;ESGU;ESGU11
40953725000119;ESGE;ESGE11
40953905000109;ESGD;ESGD11
40955945000181;URET;URET11
41012711000163;SHOT;SHOT11
41054432000162;REVE;REVE11
41054459000155;DNAI;DNAI11
41054489000161;MILL;MILL11
41054515000151;HTEK;HTEK11
41076380000125;611621;EQIR11
41076564000195;602272;IRIM11
41076607000132;604410;BTRA11
41076678000135;614785;MATV11
41076710000182;622540;SNCI11
41076748000155;617202;BLCA11
41076851000103;640387;EXES11
41081088000109;630731;VGIA11
41081356000184;624411;BIME11
41081374000166;589985;VCRI11
41088458000121;602264;RBRX11
41088458000121;602264;RBRX12
41218352000103;655341;OIAG11
41218352000103;655341;OIAG12
41218404000133;617393;LLAO11
41224330000148;637051;EGAF11
41251337000159;633208;MMVE11
41256573000168;BITH;BITH11
41256643000188;630764;WHGR11
41269052000145;621706;GAME11
41269527000101;621730;XPCA11
41269527000101;621730;XPCA12
41272747000186;665479;PLCA11
41320997000144;650390;MGRI11
41706298000137;QETH;QETH11
41745701000137;655333;KNCA11
41745701000137;655333;KNCA12
41771670000199;BODB;BODB11
41907631000176;ETHE;ETHE11
42066916000194;644366;CXCI11
42085661000107;621722;JSAF11
42101885000165;USAL;USAL11
42134357000102;GENB;GENB11
42150391000170;00482;BRKM5
42157511000161;00043;ARCZ3
42264597000121;YDRO;YDRO11
42273325000198;627267;KIVO11
42278291000124;02071;LOGN3
42278473000103;02359;WIZC3
42280262000105;WRLD;WRLD11
42280298000180;BTEK;BTEK11
42280328000159;ALUG;ALUG11
42280376000147;5GTK;5GTK11
42294971000131;BIDB;BIDB11
42331462000131;01545;EPAR3
42405905000191;634840;FGAA11
42416651000107;01213;PRBN4
42427783000134;IBOB;IBOB11
42432327000182;610453;APTO11
42432327000182;610453;APTO12
42479593000160;645257;RURA11
42479593000160;645257;RURA12
42500384000151;02644;MEGA3
42500384000151;02644;MEGA1
42500384000151;02644;MEGA9
42502802000140;655317;KCRE11
42502827000143;655325;VCRA11
42502827000143;655325;VCRA12
42502842000191;661244;RPRI11
42537438000153;632562;NCRA11
42537438000153;632562;NCRA12
42537579000176;645265;CPTR11
42592257000120;632589;BBGO11
42592476000109;630780;LSAG11
42592476000109;630780;LSAG12
42682113000164;TECB;TECB11
42682199000125;SPXB;SPXB11
42682281000150;SMAB;SMAB11
42682790000182;QDFI;QDFI11
42730834000100;JURO;JURO11
42730834000100;JURO;JURO12
42737954000121;0001864163;INBR32
42771949000135;02405;AALR3
42869892000101;666092;BIPD11
42888292000190;636185;JGPX11
42888360000111;641057;DCRA11
42888583000189;657141;MANA11
42888583000189;657141;MANA12
42922127000108;651133;DPRO11
42922127000108;651133;DPRO12
43010543000100;671551;SPXS11
43010844000126;645291;CCME11
43024469000173;BRHY;BRHY11
43105466000164;JOGO;JOGO11
43140303000112;TRIG;TRIG11
43185362000107;00681;IGBR3
43210375000199;SVAL;SVAL11
43210419000180;FOOD;FOOD11
43210658000130;ELAS;ELAS11
43216061000101;USBD;USBD11
43216061000101;USDB;USDB11
43216095000198;BNDX;BNDX11
43274412000122;TEQI;TEQI11
43358647000100;02027;MEDI3
43391410000113;CMDB;CMDB11
43440579000116;43440579-provis;WSEC11
43470988000165;02052;EVEN3
43710946000154;01787;MTDO3
43776517000180;01444;SBSP3
43951717000121;WEB3;WEB311
43951911000107;AGRX;AGRX11
43955479000122;GURU;GURU11
44106937000111;BLOK;BLOK11
44107447000130;NFTS;NFTS11
44124505000133;META;META11
44177538000141;625711;IDGR11
44286898000181;653497;IAGR11
44514162000113;672793;HDEL11
44527168000125;656348;SHSO11
44625612000145;687987;RINV11
44625694000128;653500;FZDA11
44625826000111;686301;AAZQ11
44668806000128;HCRA;HCRA11
44689123000157;01222;UCOP4
45081470000165;AGRI;AGRI11
45240538000101;OLM;OLMA4
45242914000105;02484;CEAB3
45295262000169;PEVC;PEVC11
45365558000109;02576;VITT3
45403337000188;667927;MFCR11
45403337000188;667927;MFCR12
45453214000151;02034;PFRM3
45777347000183;675288;CCLB11
45814375000123;BXPO;BXPO11
45814400000179;SCVB;SCVB11
45823539000189;BDOM;BDOM11
45987245000192;00070;BAHI3
46014635000149;00477;LIXC3
46420627000100;OGIN;OGIN11
46467170000181;CORN;CORN11
46610422000180;BBOI;BBOI11
47080619000117;02094;ACGU3
47240631000141;680443;OGHY11
47240671000193;683256;GRWA11
47427653000115;01483;MAKR3
47508411000156;01482;PCAR3
47960950000121;02247;MGLU3
48643091000100;BMMT;BMMT11
48643130000179;BREW;BREW11
48643170000110;BCIC;BCIC11
48643220000160;BDEF;BDEF11
48969881000180;SNID;SNID11
49263189000102;02087;HBOR3
49669856000143;02144;VSTE3
49669856000143;02144;LLIS1
49669856000143;02144;LLIS9
50564053000103;01219;BOBR4
50746577000115;01983;CSAN3
50926955000142;01176;VULC3
51128999000190;02133;NUTR3
51218147000193;02049;IGTA3
51466860000156;02051;SMTO3
51468056000106;01218;CTPC3
51928174000150;01347;PLAS3
51928174000150;01347;PLAS11
52082872000140;01297;BRUM4
52548435000179;02202;JSLG3
52736840000110;00248;CCHI3
53113791000122;01999;TOTS3
53790218000153;01226;LFFE3
54526082000131;01253;ITEC3
54641030000106;02121;BMEF3
56643018000166;00577;EUCA4
56720428000163;00751;ROMI3
56783681000166;01057;SAGR4
56806656000150;01455;RHDS3
56992423000190;00169;BMKS3
56994924000105;00168;PMET6
57009078000194;01275;AMLC4
57487142000142;00380;CPFL4
57494031000163;01331;CCTU4
57500001000112;00448;FAPC4
58119199000151;02012;ODPV3
58128174000114;00281;CBAG3
58430828000160;02462;BLAU3
58877812000108;01904;CPNY3
59104513000195;02238;AUTM3
59105999000186;01434;WHRL4
59179838000137;01335;PIPN4
59285411000113;02119;BPAN4
59290239000196;00195;BFCV4
59418806000147;02520;TFCO4
59717553000102;02603;MLAS3
59789545000171;01344;PPAR3
59981829000165;02580;RBNS11
60394723000144;01493;DXTG4
60398369000126;00939;PMAM3
60400009000111;00838;MNSA4
60405446000128;00563;EMXS4
60434487000142;00360;LECO4
60476884000187;00857;LEVE3
60499605000109;01074;SIFC4
60500139000126;01047;SLED4
60500139000126;01047;SLED2
60501780000185;00890;VEMG4
60522000000183;00275;ANTA3
60537263000166;02495;ALPK3
60543816000193;00867;IGTI11
60605664000106;02230;RAIA3
60631090000140;00797;LARK4
60637238000154;01231;BLUT3
60643228000121;01279;FIBR3
60651809000105;00906;NEMO5
60664810000174;00010;AVIL3
60688256000165;00954;PVLT3
60703923000131;01170;VASP3
60730348000166;00365;MSPA3
60736279000106;00632;CTLU4
60746948000112;00090;BBDC4
60770336000165;00138;BRIV4
60840055000131;02188;FLRY3
60851615000153;00152;BDLL4
60853942000144;00418;VSMA3
60872173000121;01147;TRBR4
60872504000123;01934;ITUB4
60872504000123;01934;ITUB99
60873874000185;00743;MADE4
60875259000108;00905;NAKT4
60881364000150;00165;BERG3
60882628000190;00465;CNFB4
60884319000159;00908;NORD3
60889128000180;02068;SFSA4
60894730000105;01432;USIM5
60898723000181;00095;BCNA4
60933603000178;00257;CESP3
60942638000173;00142;BFIT3
61022042000118;00472;CALI3
61022042000118;00472;CALI11
61024352000171;02088;IDVL4
61064838000133;00191;LITS3
61064978000101;00052;ARNO4
61065298000102;00839;MGEL4
61065421000195;00131;BMCT4
61065751000180;01630;RSID3
61067161000197;00904;NAFG4
61071387000161;00084;BBCM4
61074092000149;01027;MSAN3
61074506000130;00346;MAFE3
61077830000101;01549;PNXS4
61079117000105;01045;ALPA4
61080313000191;00444;CBMA3
61081972000142;00687;IBRC4
61082004000150;00842;ESTR4
61082822000153;00837;MAHS4
61082863000140;00926;ORIO4
61084984000120;00197;BMTO4
61086823000176;00240;CELM3
61087581000135;01098;STRP4
61087912000137;00381;COPA4
61088894000108;00210;CAMB3
61091013000108;00949;PRSC4
61092037000181;00576;ETER3
61116331000186;01022;VGOR4
61146650000134;00508;GALO4
61149084000114;00771;ITPS4
61150751000189;00960;PIRE4
61151445000167;01058;SEMP3
61156113000175;01193;MYPK3
61156501000156;01086;SOLO4
61156931000178;01282;APTI4
61186680000174;02460;BMGB4
61189288000189;02205;AMAR3
61189601000189;01245;CLDX4
61190096000192;02670;EUFA3
61192373000104;00475;COBE6B
61196564000136;00592;FLBR4
61230165000144;00078;BASU5
61338042000121;00648;GLAS4
61351532000168;01197;AZEV4
61351532000168;01197;AZEV11
61374161000130;00156;BALM4
61409892000173;02598;CBAV3
61410395000195;00601;FBMC4
61411633000187;00111;BESP3
61418430000112;01152;TROR4
61442109000173;00594;FBRA4
61460762000165;00755;IVIL4
61482725000158;00502;DFVA4
61486650000183;01962;DASA3
61532644000115;00761;ITSA4
61565511000145;00217;CABR4
61573796000166;01234;BSGR3
61584140000149;00319;REDE3
61585865000151;00525;RADL3
61632964000147;01449;PQUN3
61695227000193;01417;ELPL3
61856571000117;01563;CGAS5
62002886000160;00941;AHEB3
62136254000199;02075;CZRS4
62144175000120;02056;PINE4
62144175000120;02056;PINE11
62232889000190;02079;DAYC4
62291380000118;01588;ATBS3
62545686000153;01307;OXIT4
62607502000132;01064;SHAP4
62791116000143;00276;ASSM3
62984091000102;02552;CSED3
64904295000103;02422;CAML3
66542002000110;01776;CTWR3
67010660000124;02045;RDNI3
67203208000189;02048;CCIM3
67571414000141;02070;VIVR3
67571414000141;02070;VIVR1
67620377000114;02093;BEEF3
71476527000135;02114;TEND3
71550388000142;02345;RUMO3
73178600000118;01446;CYRE3
75049965000178;01151;TRMB4
75315333000109;02417;CRFB3
76255926000190;00333;IGUA6
76483817000120;01431;CPLE6
76484013000145;01862;SAPR11
76487032000125;01000;REPA4
76492172000191;00118;BEPA4
76500180000132;02097;PRVI3
76535764000143;01131;OIBR3
76538446000136;00072;BSEG4
76627504000106;00759;INEP3
78588415000115;00290;CIQU4
78594876000109;01149;TRPA4
78876950000171;01476;HGTX3
79313086000162;01439;WISA3
80227184000166;00860;MTIG4
81243735000148;02036;POSI3
82373077000171;02065;BEMA3
82508433000117;01686;CASN3
82610726000100;01136;ARPS3
82636986000155;01122;TEKA4
82639543000118;00361;LORZ4
82640558000104;00414;CTKA4
82640632000184;00811;LHER4
82640723000110;00056;ARTE4
82641325000118;02014;CREM3
82643537000134;00538;EALT4
82901000000127;02545;INTB3
82981671000145;00582;FTRX3
82981812000120;00203;BUET3
82981929000103;00354;SCLO4
82982075000180;00754;TXRX4
83296889000123;01024;CHAP3
83475913000191;01377;PTBL3
83878892000155;00246;CLSC4
84043009000170;00705;ILLS4
84046101000193;00259;CEVA3
84208123000102;00317;IMBI3
84429695000111;00541;WEGE3
84429752000162;00848;MRSL4
84432426000104;00778;JFAB4
84683374000149;00634;TUPY3
84683408000103;00520;DOHL4
84683671000194;01199;MWET4
84683762000120;00864;DUQE4
84693183000168;01466;SHUL4
85778074000106;01343;RSUL4
86375425000109;00875;MTSA4
86550951000150;01965;FRTA3
87456562000122;01328;JOPA3
87762563000103;00329;HBTS5
88301163000155;00744;LETO5
88610126000129;00621;FRAS3
88610191000154;00531;MNDL3
88610324000192;00018;AGRA4
88611835000129;00845;POMO4
88611975000105;01221;TRIC4
88611983000143;00637;GAZO4
88613658000110;00953;PTNT4
88925029000125;00657;GRNL4
88948492000192;01404;CPSL3
89086144000116;01410;RAPT4
89096457000155;02074;SLCE3
89463822000112;02006;LUPA3
89463822000112;02006;LUPA1
89463822000112;02006;LUPA13
89463822000112;02006;LUPA11
89463822000112;02006;LUPA12
89463822000112;02006;LUPA9
89637490000145;01265;KLBN11
89723993000133;01303;SULT3
89850341000160;01961;GRND3
89862200-2;LTM;LATM33
89940878000110;01258;LCSA3
90076886000140;01376;MNPR3
90286105000141;01145;TRFO4
90400888000142;02053;SANB11
90441460000148;02278;UCAS3
91156901000122;00924;OLVB4
91333666000117;01257;RCSL3
91333666000117;01257;RCSL1
91333666000117;01257;RCSL2
91374561000106;01196;FGOS4
91495499000100;02420;STTR3
91669747000192;00607;DMFN3
91820068000172;01341;PTPA4
91983056000169;00787;KEPL3
92012467000170;00453;CGRA4
92189356000133;00057;ARLA3
92660570000126;00819;LUXM4
92660604000182;00014;ILMD4
92665611000177;00934;PNVL3
92670959000152;00483;CBTA4
92672203000142;01116;TCHN4
92689256000176;00519;DPPI4
92690700000173;01003;RHER4
92690783000109;00865;GOAU4
92693019000189;00009;PATI4
92702067000196;00121;BRSR6
92715812000131;00320;EEEL4
92724053000173;00806;LGLO4
92749225000163;00662;HETA4
92754738000162;00813;LREN3
92758085000190;00024;ALBA3
92772821000164;01168;VAGV4
92776665000100;01223;ELEV3
92781335000102;00617;TASA4
92791243000103;00242;RANI3
92794486000103;00391;CRGT5
92825900000196;00515;DHBI4
92859974000143;02318;ALTS3
92929520000100;01096;SPRI3
93007000-9;SQM;S2CH34
93828986000173;01385;MAPT3
94271000-3;ENELAM;E1NI34
94789468000150;01827;RSIP4
94813102000170;02595;TTEN3
94845674000130;00999;RIPI4
95424479000108;00700;POLA3
95426862000197;00157;BAUH4
96418264021802;02503;LJQQ3
96735006000186;01274;CZAR4
96735105000168;00036;ROSI4
96832365000151;01815;BHEQ4
97191902000194;00469;ODER4
97422620000150;01443;IDCO3
97521225000125;362042;MXRF11
97837181000147;02109;DXCO3
