cnpj;codCVM;codB3
06081379000198;OPIM;OPIM11B
06082980000103;02130;ALSC3
06164253000187;01956;GOLL4
06164253000187;01956;GOLL12
06164253000187;01956;GOLL11
06175262000173;160032;EDFO11B
06272793000184;01660;EQMA3B
06323688000127;PIBB-BRA-50;PIBB11
06626253000151;02260;PGMN3
06626253000151;02260;PGMN1
06626253000151;02260;PGMN9
06948969000175;02303;LINX3
06977739000134;01991;TEMP3
06977745000191;01990;BRML3
06977751000149;01992;BRPR3
06981381000113;02398;CTCA3
07000400000146;243914;BBFI11B
07047251000170;01486;COCE5
07073027000153;02176;TVIT3
07122725000100;310409;ALMI11
07196934000190;00114;BECE3
07206816000115;02033;MDIA3
07224019000160;310387;SHDP11B
07237373000120;00122;BNBR3
07332190000193;00599;VINE5
07383363000100;LECA;LECA11B
07415333000120;02500;SIMH3
07437016000105;02396;CNSY3
07450604000189;02111;BICB4
07526557000100;02326;ABEV3
07594978000178;02426;SMFT3
07620094000140;02015;AFLU5
07628528000159;02003;AGRO3
07659538000151;02005;DNEN3B
07689002000189;02008;EMBR3
07698047000110;02066;AGIN3
07700557000184;02026;BISA3
07718269000157;02096;SGPS3
07789135000127;340707;ANCR11B
07794351000160;02020;ABYA3
07809905000156;02021;AMPI3
07816890000153;02098;MULT3
07820907000146;02063;CRDE3
07857093000114;08018;AURA33
07857850000150;08002;GPIV33
07859971000130;02025;TAEE11
07882930000165;02490;MTRE3
07949970000187;02017;CTMI3
07950674000104;02018;CCXC3
07957093000196;02016;OGXP3
08014513000163;311049;NSLU11
08065557000112;02043;TCSA3
08078847000109;02037;LPSB3
08098114000128;311219;HSRE11
08159965000133;02317;IGSN3
08170849000115;02602;DESK3
08277553000106;OPHF;OPHF11B
08281683000104;02233;RJCP3
08294224000165;02060;JHSF3
08312229000173;02077;EZTC3
08324196000181;01813;CSRN3
08343492000120;02091;MRVE3
08364948000138;02149;ALUP11
08387157000123;PLPF;PLPF11
08402943000152;00466;GUAR3
08424178000171;01121;TENE7
08431747000106;362281;HGBS11
08439659000150;02054;CPRE3
08467115000100;02064;CEED3
08534605000174;02163;RNEW4
08534605000174;02163;RNEW1
08534605000174;02163;RNEW2
08534605000174;02163;RNEW12
08560444000193;02139;GPAR3
08574411000100;02454;PTCA3
08613550000198;02118;NEXP3
08648295000119;02085;SAGP3B
08684547000165;02084;MAGG3
08693497000182;362239;VERE11
08696175000197;362697;FIIP11B
08706065000169;310336;HTMX11
08723106000125;02090;BHGR3
08741499000108;02148;PRML3
08764621000153;02100;GSHP3
08795211000170;02361;MSRO3
08797760000183;02510;CURY3
08801621000186;02104;SYNE3
08807432000110;02101;YDUQ3
08811643000127;02113;TRIS3
08835366000192;02124;CTLG3
08887330000152;08007;CZLT33
08902291000115;02558;CMIN3
08904552000136;08009;MILK33
08924783000101;310328;BRCR11
08926302000105;02349;DMMO3
08936792000112;02243;IMCH3
08943312000140;08008;AGEN33
09006914000134;264490;RBRD11
09009924000123;UNAG;UNAG11
09041168000110;02327;LOGG3
09042817000105;02550;BMOB3
09072017000129;362298;HGRE11
09083175000184;02547;MOSI3
09112685000132;02134;OSXB3
09114805000130;02553;OPCT3
09146451000106;02579;KLAS3
09150967000124;473121;OPTM11
09229201000130;02571;GGPS3
09259821000111;01318;ANPB5
09288252000132;02324;ANIM3
09295063000197;02251;TECN3
09295979000147;02145;IRON3
09305994000129;02411;AZUL4
09326861000139;310395;WPLZ11
09346601000125;02161;B3SA3
09347516000181;02556;ELMD3
09350920000104;362212;SFND11
09358105000191;02179;CTIP3
09517273000182;612413;SEQR11
09517273000182;612413;SEQR12
09552812000114;311006;BTCI11
09611768000176;02427;INNT3
10139870000108;02539;NGRD3
10215988000160;02269;LCAM3
10285590000108;02501;SOMA3
10338320000100;02217;AFLT3
10345009000198;02172;ADHM3
10347505000180;241598;VSEC11
10347985000180;264873;CJCT11
10375382000191;310344;FLRP11
10406499000195;Mila;MILA11
10406511000161;Bova;BOVA11
10406600000108;Smal;SMAL11
10440482000154;02614;GETT3
10456810000100;362158;DRIT11B
10522648000181;362395;DOVL11B
10603674000134;02377;WWOW3
10625626000147;FCCQ;FCCQ11
10629105000168;02218;PRIO3
10739356000103;02586;BRBI11
10747021000129;02372;PRCA3
10760260000119;02331;CVCB3
10782175000151;01209;PXEC4
10807374000177;02570;SOJA3
10835932000108;01436;CEPE5
10846981000146;02177;PRTX3
10851805000100;02435;FLEX3
10869155000112;310301;PQDP11
10991914000115;244023;CXCE11B
10993386000133;311073;FCAS11
11026627000138;310360;BCFF11
11040082000114;02191;AGEI3
11044355000107;362727;STRX11
11091198000182;316441;GWIC11
11094546000175;02194;MPLU3
11102250000159;02371;HCBR3
11160521000122;362311;HGCR11
11179118000145;311057;FAED11
11184136000115;Gove;GOVE11
11260134000168;362336;HGPO11
11274415000170;310352;MAXR11
11281322000172;275050;PRSV11
11314984000100;362328;RCCS11
11395624000171;02250;BPHA3
11407511000149;11407511-provis;RBAG11
11421994000136;02555;ORVR3
11421994000136;02555;ORVR1
11423623000193;08011;DAGB33
11455378000104;brax;BRAX11
11455392000108;mobi;MOBI11
11455397000122;csmo;CSMO11
11566501000156;02213;TERI3
11602654000101;310417;FCFL11
11664201000100;253308;VRTA11
11669021000110;02236;ENAT3
11697585000167;284424;MSHP11
11703519000152;00350;BPLA5
11721921000160;02221;APER3
11725176000127;02513;BOAS3
11728688000147;362301;HGLG11
11769604000113;362611;GSFI11
11839593000109;362719;BTLG11
11858621000127;02228;DOMO3
11945604000127;361909;RBDS11
11961094000181;Find;FIND11
11992680000193;02249;QUAL3
12005956000165;253707;KNRI11
12049631000184;02106;MDNE3
12091809000155;02529;RRRP3
12104241000402;02612;ONCO3
12108897000150;02504;DMVF3
12126500000153;02212;RDTR3
12181987000177;02511;MELK3
12324242000110;309966;BTGM11
12420164000157;02568;VVEO3
12516185000170;356395;VINO11
12528708000107;02528;AERI3
12594985000100;361879;RBPR11
12648266000124;02496;AMBP3
12648327000153;02267;HBSA3
12659641000131;362255;RBCB11
12681340000104;277142;BBRC11
12804013000100;12804013-provis;FISC11
12809972000100;362344;ATSA11
12820365000141;362352;MSLF11B
12834763000117;361917;WMRB11B
12877873000166;361925;AFSS11
12887506000143;297534;CXTL11
12948291000123;362220;ONEF11
12978943000172;474444;PQAG11
12984444000198;Isus;ISUS11
13004510000189;01520;BPCO4
13009717000146;00112;BGIP4
13022993000144;311197;FVBI11
13022994000199;313394;ELDO11B
13217485000111;02469;SBFG3
13270520000166;02587;KRSA3
13301359000140;ESUD;ESUD11
13301410000114;ESUT;ESUT11
13301469000102;ESUU;ESUU11
13324184000197;02277;VIGR3
13371132000171;318760;JSRE11
13407573000186;02257;HPIA3
13416228000109;Matb;MATB11
13416245000146;divo;DIVO11
13500306000159;362141;RBOP11
13522948000159;02713;SAEN3
13551286000145;310999;CNES11
13552070000102;00978;PNOR5
13555918000149;297216;AQLL11
13565502000101;00536;EDNE5
13574594000196;02431;ZAMP3
13584584000131;362761;CARE11
13652006000195;361933;RBGS11
13788120000147;00435;ELEK3
13811400000129;361941;XPGA11
13842683000176;335797;VLJS12
13842733000115;317314;JSIM11
13873457000152;361951;RBED11
13966653000171;310311;THRA11
13974819000100;327654;OULG11
14056001000162;362409;PRSN11B
