empresa;ano;cxEquiv;ctaRecCP;estoque;outAtvCirc;atvCirc;ctaRecLP;investim;Imobilizado;intangivel;outAtvNaoCirc;atvNaoCirc;fornec;dividasCP;outPasCirc;pasCirc;dividasLP;outrPasNaoCirc;pasNaoCirc;patLiq;atvTotal;receitaLiq;custo;despVenda;despAdm;outDespOp;despOper;recFin;despFin;ir_csll;depreciacao;cxAtivOper;cxAtivInvest;cxAtivFinanc
alpha;2018;85458;138707;54674;26318;305157;3885;1204;30153;24342;13998;73582;39909;15938;36892;92739;24441;3755;28196;257804;378739;553290;295729;137328;51052;5651.4;194031.4;14510;22223;9913;14816;42706;26179;-69786
alpha;2019;100637;149828;65053;39893;355411;3769;1093;110205;27198;14511;156776;48914;57342;62145;168401;8176;65220;73396;270390;512188;608587;327460;153798;66689;6614.61;227101.61;8959;15546;15506;29110;74253;-30954;-41418
alpha;2020;203376;217025;105426;41311;567138;929;1093;114633;300759;42016;459430;144673;86793;98849;330315;143078;64417;207495;488757;1026568;576606;302902;192065;58796;7525.83;258386.83;23749;37358;2165;29393;79846;-107741;36767
alpha;2021;95156;286420;163265;51985;596826;1549;1037;146369;367825;106414;623194;208287;180071;162156;550514;13675;78857;92532;576973;1220021;1059651;502003;320527;114603;13053.9;448183.9;15358;38796;21793;38325;87682;-3904;-84630
beta;2018;421335;1381804;335889;223822;2362850;0;64591;682707;68181;616978;1432457;188373;263467;975028;1426868;513191;68831;582022;1786417;3795307;2606735;914589;1130493;298241;42862.02;1471596.02;197954;60612;200553;105547;101021;-134601;162756
beta;2019;568814;1577020;381185;194472;2721491;0;62240;1008870;106919;667876;1845905;229017;297816;1067995;1594828;726197;352879;1079076;1893492;4567396;2829785;1044094;1228732;334842;46907.22;1610481.22;70457;104952;43386;185291;215916;-197250;45223
beta;2020;1224363;1354742;377970;196354;3153429;0;60184;934008;175304;688096;1857592;374609;471845;994815;1841269;1008744;339003;1347747;1822005;5011022;2263442;1117939;842806;371561;36431.01;1250798.01;39938;101245;-62853;189963;503918;-46837;260122
beta;2021;757656;1900299;461206;81982;3201143;0;60140;902397;263977;819600;2046114;379173;499893;1326389;2205455;796431;336587;1133018;1908784;5247258;2617094;1208033;912860;421942;40044.06;1374846.06;57413;130058;-87707;199321;11031;-56812;-387737
gama;2018;365390;743523;1018487;196573;2323973;2743;111792;273355;217024;259220;864134;1487819;47383;417729;1952931;117867;282704;400571;834605;3188108;5650276;4005827;995727;275378;38133.15;1309238.15;48538;155339;68654;59324;448009;-142834;-237629
gama;2019;1722906;1056464;1377831;496682;4653883;6103;110570;1214281;560165;627662;2518781;2150913;3612;745766;2900291;304019;1226676;1530695;2741678;7172665;7207181;5194318;1248212;430757;50369.07;1729338.07;232280;257799;107392;176489;-1206695;-336538;1436919
gama;2020;1052159;1725803;2148144;1162105;6088211;5849;140156;1349531;683883;664989;2844408;3081070;604218;1176980;4862268;7096;1408430;1415526;2654824;8932620;10574346;7848967;1871032;583249;73628.43;2527909.43;66456;215227;8108;254607;943696;-236097;-209046
gama;2021;1494105;2047943;3302441;2038337;8882826;6288;147787;1921441;1560789;1392191;5028496;3660051;147855;1721592;5529498;2314011;1986526;4300537;4081286;13911322;12785479;9709698;2310215;669974;89405.67;3069594.67;178156;427867;-293223;296083;-1581771;-477453;2379905
delta;2018;1344937;1365595;1729826;468247;4908605;78644;39141;525145;517172;1562391;2722493;3135651;1224252;1032895;5392798;370030;953887;1323917;914383;7631099;9759224;6897200;2072675;380540;73596.45;2526811.45;0;0;-43853;120323;304794;-213828;-35880
delta;2019;494339;1852687;1654443;511375;4512844;132645;52550;1815357;451211;1887119;4338882;2637687;1791800;1272454;5701941;346835;2593472;2940307;209478;8851727;9297865;6636620;2016500;337412;70617.36;2424529.36;0;0;-206942;320016;-795873;-179760;125034
delta;2020;1081458;2865648;2238301;790438;6975845;321828;74658;1627987;599078;2380733;5004284;2826507;2423497;1453664;6703668;873067;2236489;3109556;2166904;11980129;10474277;7043617;2135374;322915;73748.67;2532037.67;0;0;-29356;330526;-1529772;-160915;2277804
