"razao_social";"setor";"ranking";"carteira";"score_ise_b3";"capital_humano";"governanca_corporativa_e_alta_gestao";"modelo_de_negocios_e_inovacao";"capital_social";"meio_ambiente";"cdp";"ano";"mudanca_do_clima_cdp_climate_change"
"CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";56;"Não";55,1455179853806;0,59079335016835;0,624683760700518;0,524404761904762;0,67093253968254;0,468916666666667;0,429;2021;NA
"CURY CONSTRUTORA E INCORPORADORA S.A.";"Consumo Cíclico/Construção Civil/Incorporações";71;"Não";37,2641067851774;0,45018728956229;0,543068092501969;0,217113095238095;0,480023384353741;0,545454545454545;0;2021;NA
"DURATEX S.A.";"Materiais Básicos/Madeira e Papel/Madeira";22;"Sim";74,5465243358359;0,661921296296296;0,814089229510425;0,913710317460318;0,649727182539682;0,719343434343434;0,714;2021;NA
"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.";"Bens Industriais/Transporte/Exploração de Rodovias";16;"Sim";76,4729391546218;0,694995793124632;0,826692656443444;0,67547619047619;0,779125663544994;0,89808604568805;0,714;2021;NA
"EDP - ENERGIAS DO BRASIL S.A.";"Utilidade Pública/Energia Elétrica (Distribuição)";1;"Sim";90,2503628811033;0,769147845941986;0,91729827485226;0,957319532273692;0,805545757457168;0,965710362341093;1;2021;NA
"ENGIE BRASIL ENERGIA S.A.";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";10;"Sim";78,221577658704;0,571117424242424;0,876477499830081;0,758928571428572;0,844378306878307;0,785392857142857;0,857;2021;NA
"FLEURY S.A.";"Saúde/Serv.Méd.Hospit.,Análises e Diagnósticos";23;"Sim";74,2655402823795;0,752967171717172;0,846874825724463;0,818482142857143;0,733608276643991;0,875;0,429;2021;NA
"GAFISA S.A.";"Consumo Cíclico/Construção Civil/Incorporações";62;"Não";48,2872633410828;0,476386784511785;0,560224015953182;0,583258928571428;0,657366071428571;0,62;0;2021;NA
"GRENDENE S.A.";"Consumo Cíclico/Tecidos, Vestuário e Calçados/Calçados";47;"Não";62,2049760893964;0,527468434343434;0,563830070895288;0,762738095238095;0,558068783068783;0,891193181818182;0,429;2021;NA
"GRUPO DE MODA SOMA S.A.";"Consumo Cíclico/Comércio/Tecidos, Vestuário e Calçados";70;"Não";38,8899491096761;0,323295454545455;0,543232238272999;0,467142857142857;0,404635487528345;0,309090909090909;0,286;2021;NA
"GUARARAPES CONFECCOES S.A.";"Consumo Cíclico/Comércio/Tecidos, Vestuário e Calçados";59;"Não";53,2706524629718;0,372811447811448;0,531231363409805;0,753710317460317;0,554981859410431;0,722727272727273;0,429;2021;NA
"HYPERA S.A.";"Saúde/Comércio e Distribuição/Medicamentos e Outros Produtos";64;"Não";47,8692288508753;0,550471380471381;0,591151570810765;0,698630952380952;0,558665532879819;0,762272727272727;0,429;2021;NA
"IOCHPE MAXION S.A.";"Consumo Cíclico/Automóveis e Motocicletas";54;"Sim";58,2382423266481;0,433449074074074;0,588262673317021;0,518452380952381;0,499652777777778;0,883477633477634;0,571;2021;NA
"IRANI PAPEL E EMBALAGEM S.A.";"Materiais Básicos/Madeira e Papel/Papel e Celulose";55;"Não";56,8089667236753;0,66339436026936;0,744627770135283;0,636994047619047;0,603353174603175;0,760168650793651;0;2021;NA
"ITAU UNIBANCO HOLDING S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";7;"Sim";79,9045492834815;0,702914562289563;0,721657136278606;0,848188365624027;0,906124338624339;0,745454545454545;0,60675;2021;NA
"ITAUSA S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";18;"Sim";75,5181491378513;0,702914562289563;0,877591145016417;0,848188365624027;0,906124338624339;0,745454545454545;0,714;2021;NA
"JBS S.A.";"Consumo Não Cíclico/Alimentos/Carnes e Derivados";37;"Não";65,8985374029366;0,547392095450749;0,793965581122923;0,602593823528624;0,585103374124096;0,710857369949801;0,714;2021;NA
"KLABIN S.A.";"Materiais Básicos/Madeira e Papel/Papel e Celulose";6;"Sim";80,808589561941;0,55915404040404;0,756518079344166;0,851547619047619;0,787545634920635;0,89375;1;2021;NA
"LIGHT S.A.";"Utilidade Pública/Energia Elétrica (Distribuição)";42;"Sim";64,1057141196786;0,603261784511785;0,820053284891151;0,674047619047619;0,718373015873016;0,601607142857143;0,429;2021;NA
"LOCAWEB SERVIÇOS DE INTERNET S.A.";"Tecnologia da Informação/Programas e Serviços";68;"Não";40,4037376729104;0,565833333333333;0,563683134833497;0,71875;0,362321428571429;0,213636363636364;0;2021;NA
"LOJAS QUERO-QUERO S/A";"Consumo Cíclico/Comércio/Produtos Diversos";73;"Não";23,1565694221621;0,651746632996633;0,545130676154227;0,29452380952381;0,492437641723356;0,331818181818182;0;2021;NA
"LOJAS RENNER S.A.";"Consumo Cíclico/Comércio/Tecidos, Vestuário e Calçados";2;"Sim";85,1312021426928;0,698705808080808;0,858364114749984;0,99;0,82652947845805;0,877272727272727;0,857;2021;NA
"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS";"Consumo Não Cíclico/Alimentos/Alimentos Diversos";33;"Sim";69,8745423524409;0,636927609427609;0,757842772045138;0,711732142857143;0,633971560846561;0,518636363636364;0,429;2021;NA
"MAGAZINE LUIZA S.A.";"Consumo Cíclico/Comércio/Eletrodomésticos";49;"Sim";61,4685074802136;0,508371212121212;0,832782600853253;0,710366071428571;0,628914871504157;0,759107142857143;0,714;2021;NA
"MARFRIG GLOBAL FOODS S.A.";"Consumo Não Cíclico/Alimentos/Carnes e Derivados";34;"Sim";69,2256983127389;0,694328703703704;0,832500829987243;0,76016369047619;0,710469576719577;0,62400974025974;0,571;2021;NA
"MINERVA S.A.";"Consumo Não Cíclico/Alimentos/Carnes e Derivados";44;"Sim";63,4555653397601;0,563131313131313;0,637538255402439;0,659479166666667;0,572208994708995;0,66097619047619;0,714;2021;NA
"MOVIDA PARTICIPACOES SA";"Consumo Cíclico/Diversos/Aluguel de carros";31;"Sim";70,6240570380573;0,64401936026936;0,766614242406815;0,594047619047619;0,659671291468737;0,859090909090909;0,714;2021;NA
